"category","question","answer"
"Computers","Are HTML element names case-sensitive","no"
"Computers","Computer abbreviations: IIRC","If I Remember Correctly"
"Computers","In what year was the Intel Pentium processor introduced?","1993"
"Computers","Who invented the Hovercraft ?","Sir Christopher Cockerell"
"Computers","Who invented HTTP, the HyperText Transfer Protocol","Tim Berners-Lee"
"Computers","What does bit stands for?","binary digit"
"Computers","CACA?","SI"
"Computers","Computer abbreviations: AFAIK?","As Far As I Know"
"Computers","What country did the operating system 'Linux' come from?","Finland"
"Computers","Who invented the Telephone ?","Alexander Graham Bell"
"Computers","Who invented HTML, the Hypertext Markup-Language","Tim Berners-Lee"
"Computers","Internet abbreviations, what does WWW stand for?","World Wide Web"
"Computers","Are XHTML element names case-sensitive","yes"
"Computers","Computer abbreviations: ACK?","Acknowledge"
"Computers","What does 'IBM' stand for?","International Business Machines"
"Computers","Which one came first: C64 or Amiga 500","64"
"Computers","What does HTML stand for?","Hyper Text Markup Language"
"Computers","Which is the lowest heading in HTML","h6"
"Computers","Computer abbreviations: ACK?","Acknowledged"
"Computers","What does the 'x' mean when referring to the speed of a CD-rom (eg. 32x)?","times (faster than standard speed)"
"Computers","Which company produced the Amiga 500 computer","Commodore"
"Computers","In the Perl programming language, what type of variable is preceded by a "@" symbol?"," array"
"Computers","What does element "br" mean","break"
"Computers","Computer abbreviations: BBL?","Be Back Later"
"Computers","What type of printer did Seiko develop for the 1964 Tokyo Olympics?","dot matrix"
"Computers","Which german inventor build the first computer","Konrad Zuse"
"Computers","What is RFC an acronym for?","Request For Comments"
"Computers","What does element "em" mean","emphasis"
"Computers","Who has the world's largest double-decker tram fleet?","Hong Kong"
"Computers","Computer abbreviations: BRB?","Be Right Back"
"Computers","What was invented over 3000 years ago that is now considered the first 'computer'?","abacus"
"Computers","What does IP stand for?","Internet Protocol"
"Computers","how many bytes are in a megabyte","1048576"
"Computers","On what syntax framework is HTML based","SGML"
"Computers","Computer acronyms: ROTFL?","Rolling on the floor laughing"
"Computers","What was the first version of Microsoft Windows to have networking capabilities?","Windows for Workgroups"
"Computers","What does TCP stand for?","Transmission Control Protocol"
"Computers","how many bytes are in a kilobyte","1024"
"Computers","On what syntax framework is XHTML based","XML"
"Computers","Computer acronyms: LOL?","Out Loud"
"Computers","What was the first version of Microsoft Windows?","Windows 286"
"Computers","What is the decimal number 3 represented in binary?","one"
"Computers","Is HTML4 deprecated","No"
"Computers"," White" were invented by which game designer","Peter Molyneux"
"Computers","Who is the CEO of Apple computers?","Steve Jobs"
"Computers","Which Writer established the three laws of robotics?","Isaac Asimov"
"Computers","What is the decimal number 3 represented in binary?","11"
"Computers","What does W3C stand for","World Wide Web Consortium"
"Computers","What three letters are overly used to indicate "Laugh Out Loud"?","lol"
"Computers","s heading Microsoft","Bill Gates"
"Computers","What is the main bord of the computer","motherbord"
"Computers","Who invented HTML","Tim Berners-Lee"
"Computers","Computer Abbreviation: DOM","Documented Object Model"
"Computers","What is the abbreviation for Hypertext Markup Language","HTML"
"Computers","Related to web site browsing, TTS stands for what","Text-to-Speech"
"Computers","Computer Abbreviation: DOM","Document Object Model"
"Computers","Computer abbreviations: CSS","Cascading Style Sheets"
"Computers","Which hardware component is the most common input device, besides the keyboard","mouse"
"Computers","What does msnp stand for?","microsoft service network protocol"
"Computers","Computer abbreviations: CSS","Cascading Stylesheets"
"Computers","Which hardware component is the most common input device, besides the mouse","keyboard"
"Computers",", what is the corresponding deallocation keyword/function?","]"
"Computers","Computer abbreviations: DHTML","Dynamic Hypertext Markup Language"
"Computers","Which of these figures is most common in the year 2002: a) 0.1GB HD, b) 10GB HD, c) 1,000GB HD, or d) 10,000GB HD","b"
"Computers","What BSD distribution has claimed only two root holes in the default install in over seven years, yet has recently acquired many more and failed to mention it?","OpenBSD"
"Computers","Computer abbreviations: XML","eXtensible Markup Language"
"Computers","Who produces the Pentium Processors","Intel"
"Computers","What Linux distribution provides the dpkg package management system?","Debian GNU/Linux"
"Computers","In mIRC, what colour does control-K + 4 give?","red"
"Computers","Computer abbreviations: API","Application Programming Interface"
"Computers","The Amiga 500 keyboard had wich color","gray"
"Computers","What Linux distribution provides the dpkg package management system?","Debian"
"Computers","On IRC, how do you ask age, sex, location?","asl"
"Computers","Computer abbreviations: MDI","Multi Document Interface"
"Computers","The Amiga 500 keyboard had wich color","grey"
"Computers","Who wrote Python?","Guido van Rossum"
"Computers","On irc, what does a/s/l mean?","age/sex/location"
"Computers","Computer abbreviations: GUI","Graphical User Interface"
"Computers","s the color of Pac Man","yellow"
"Computers","s the first computer made?","ENIAC"
"Computers","s bigger, bit or byte","byte"
"Computers","Who visited Xerox PARC and got some ideas for the Apple Macintosh GUI?","Steve Jobs"
"Computers","Linus Torvalds is most famous for inventing what Operating System","Linux"
"Computers","Altavista, Google, and Yahoo are ...","search engines"
"Computers","Who wrote mIRC?","Khaled Mardam-Bey"
"Computers","s this hex-number in the decimal system: FF","255"
"Computers","Who invented Linux","Linus Torvalds"
"Computers","How many bits are in a nibble ?","4"
"Computers","s 2002 started service in which real persons answer questions for a price","Google Answers"
"Computers","What does FTP stand for?","File Transfer Protocol"
"Computers","s this byte number in the decimal system: 00000100","4"
"Computers","What is XML","eXtensible Markup Language"
"Computers","What does ietf stand for ?","Internet Engineering Task Force"
"Computers","The programming language name "Python" is based on what","Monty Python"
"Computers","What does the acronym HTML stand for?","Hyper Text Markup Language"
"Computers","s this byte number in the decimal system: 00000011","3"
"Computers","s the abbreviation of Extensible Markup Language","XML"
"Computers","What is the RFC number for SMTP","822"
"Computers","What is MUD an abbreviation for ?","Multiple User Dungeon"
"Computers","The programming language name "Python" is based on what","s Flying Circus"
"Computers","What is IRC an acronym for?","internet relay chat"
"Computers","s this byte number in the decimal system: 00000010","2"
"Computers","XHTML is based on which open standard","XML"
"Computers","What was Fortran designed for ?","Formula Translation"
"Computers","As of 2002, is there a ternary operator in Python","No"
"Computers","Computer abbreviations: SSL","Secure Socket Layer"
"Computers","What does HTML stand for","up Language"
"Computers","Which brothers built a home-made supercomputer to calculate the digits of Pi ?","Chudnovsky"
"Computers","In which programming language would the following appear: "from xml.dom.minidom import *"","Python"
"Computers","Computer abbreviations: W3C","World Wide Web Consortium"
"Computers","What does HTTP stand for","r Protocol"
"Computers","Who is the Linux operating system named after ?","Linus Torvalds"
